"D.1.D.2","s(D.1.D.2)"
0,1.42242975435891
0.01,0.0285840140729792
0.02,0.447840824694155
0.03,-0.550619457036457
0.04,-0.256681672438347
0.05,0.136104450175548
0.06,0.220909468105212
0.07,0.165369448954213
0.08,0.0553447543447537
0.09,-0.0858846026845509
0.1,-0.236571388981763
0.11,-0.376404702233085
0.12,-0.495208949297536
0.13,-0.587169930946684
0.14,-0.64649042124601
0.15,-0.667393864475235
0.16,-0.647607374955781
0.17,-0.592282440244237
0.18,-0.507516930737523
0.19,-0.399408716832559
0.2,-0.274055668926266
0.21,-0.137555657415563
0.22,0.0039934473026305
0.23,0.144493774831394
0.24,0.277847454773806
0.25,0.397958144718226
0.26,0.500204213749709
0.27,0.58419003457551
0.28,0.650272203439022
0.29,0.698807316583645
0.3,0.730151970252775
0.31,0.744662760689807
0.32,0.742696284138138
0.33,0.724609136841165
0.34,0.690757915042283
0.35,0.641499214984889
0.36,0.57718963291238
0.37,0.498185765068153
0.38,0.404844207695603
0.39,0.297521557038127
0.4,0.17657440933912
0.41,0.0423593608419806
0.42,-0.104766992209894
0.43,-0.264448053573111
0.44,-0.436327227004272
0.45,-0.62004791625998
0.46,-0.81525352509684
0.47,-1.02158745727145
0.48,-1.23869311654043
0.49,-1.46621390666036
0.5,-1.70379323138786
0.51,-1.95107449447953
0.52,-2.20770109969198
0.53,-2.47331645078179
0.54,-2.74756395150559
0.55,-3.03008700561998
0.56,-3.32052901688155
0.57,-3.61853338904691
0.58,-3.92374352587266
0.59,-4.23580283111542
0.6,-4.55435470853177
0.61,-4.87904256187833
0.62,-5.2095097949117
0.63,-5.54539981138848
0.64,-5.88635601506528
0.65,-6.23202180969869
0.66,-6.58204059904533
0.67,-6.9360557868618
0.68,-7.2937107769047
0.69,-7.65464897293063
0.7,-8.0185137786962
0.71,-8.384948597958
0.72,-8.75359683447266
0.73,-9.12410189199676
0.74,-9.49610717428691
0.75,-9.86925608509972
0.76,-10.2431920281918
0.77,-10.6175584073197
0.78,-10.9920282563177
