"WATER","s(WATER)"
0,-0.799492598394838
0.01,-0.0412160058723643
0.02,-0.135585030128333
0.03,-0.295026694835688
0.04,-0.500397737508606
0.05,-0.705668099986031
0.06,-0.828929413563991
0.07,-0.798984711098573
0.08,-0.627019093695115
0.09,-0.361340737610278
0.1,-0.0504372392243475
0.11,0.257203805082389
0.12,0.520101052996793
0.13,0.732575301138648
0.14,0.900353335804924
0.15,1.02916680397418
0.16,1.12474735262496
0.17,1.19282662873583
0.18,1.23913627928534
0.19,1.26940795125205
0.2,1.2893732916145
0.21,1.30472301516864
0.22,1.3189648608685
0.23,1.33237121520491
0.24,1.3449527896056
0.25,1.3567202954983
0.26,1.36768444431076
0.27,1.3778559474707
0.28,1.38724551640588
0.29,1.39586386254401
0.3,1.40372169731285
0.31,1.41082973214012
0.32,1.41719867845356
0.33,1.42283924768092
0.34,1.42776215124992
0.35,1.4319781005883
0.36,1.4354978071238
0.37,1.43833198228416
0.38,1.44049133749711
0.39,1.44198658419039
0.4,1.44282843379174
0.41,1.44302759772889
0.42,1.44259478742957
0.43,1.44154071432154
0.44,1.43987608983251
0.45,1.43761162539024
0.46,1.43475803242245
0.47,1.43132602235688
0.48,1.42732630662127
0.49,1.42276959664336
0.5,1.41766660385088
0.51,1.41202803967156
0.52,1.40586461553316
0.53,1.39918704286339
0.54,1.39200603309
0.55,1.38433229764073
0.56,1.37617654794331
0.57,1.36754949542548
0.58,1.35846185151498
0.59,1.34892432763953
0.6,1.33894763522689
0.61,1.32854248570478
0.62,1.31771959050094
0.63,1.30648966104311
0.64,1.29486340875902
0.65,1.28285154507642
0.66,1.27046478142303
0.67,1.2577138292266
0.68,1.24460939991486
0.69,1.23116220491555
0.7,1.2173829556564
0.71,1.20328236356515
0.72,1.18887114006954
0.73,1.17415999659731
0.74,1.15915964457619
0.75,1.14388079543391
0.76,1.12833416059822
0.77,1.11253045149685
0.78,1.09648037955754
0.79,1.08019465620802
0.8,1.06368399287603
0.81,1.04695910098931
0.82,1.0300306919756
0.83,1.01290947726262
0.84,0.995606168278124
0.85,0.97813147644984
0.86,0.960496113205507
0.87,0.942710789972862
0.88,0.92478621817964
0.89,0.906733109253579
0.9,0.888562174622414
0.91,0.870284125713884
0.92,0.851909673955724
0.93,0.833449530775671
0.94,0.814914407601462
0.95,0.796315015860833
0.96,0.77766206698152
0.97,0.758966272391262
0.98,0.740238343517793
0.99,0.721488991788851
1,0.702728928632173
