"WII","s(WII)"
0,-0.0412005545365721
0.01,-0.655136403221224
0.02,1.01442935829167
0.03,2.17719192086043
0.04,0.885470391831602
0.05,0.0033684369426265
0.06,0.15403423562108
0.07,0.395363277087949
0.08,0.450503810683847
0.09,0.372649948035012
0.1,0.244028237378424
0.11,0.13290951410605
0.12,0.0505414935013904
0.13,-0.0063903801278737
0.14,-0.0412006675572722
0.15,-0.0572039295623344
0.16,-0.0577147269185907
0.17,-0.0460476204015708
0.18,-0.0255171707868047
0.19,0.000562061150177832
0.2,0.0291470358433884
0.21,0.0590416395738949
0.22,0.0898189199862412
0.23,0.12105445963466
0.24,0.152323841073385
0.25,0.183202646856648
0.26,0.213266459538683
0.27,0.242091340327768
0.28,0.269377163798163
0.29,0.295111919768527
0.3,0.319324490725558
0.31,0.342043759155957
0.32,0.363298607546425
0.33,0.383117918383661
0.34,0.401530574154366
0.35,0.418565457345239
0.36,0.434251450442982
0.37,0.448617435934295
0.38,0.461692296305877
0.39,0.473504914044429
0.4,0.484084171636652
0.41,0.493458951569245
0.42,0.501658136328908
0.43,0.508710608402343
0.44,0.514645250276249
0.45,0.519490944437326
0.46,0.523276573372275
0.47,0.526031019567796
0.48,0.527783165510589
0.49,0.528561893687354
0.5,0.528396086584792
0.51,0.527314626689604
0.52,0.525346396488488
0.53,0.522520278468146
0.54,0.518865155115277
0.55,0.514409908916583
0.56,0.509183422358762
0.57,0.503214577928516
0.58,0.496532258112544
0.59,0.489165345397548
0.6,0.481142722270226
0.61,0.47249327121728
0.62,0.46324587472541
0.63,0.453429415281315
0.64,0.443072775371696
0.65,0.432204837483254
0.66,0.420854484102689
0.67,0.4090505977167
0.68,0.396822060811988
0.69,0.384197755875254
0.7,0.371206565393198
0.71,0.357877371852519
0.72,0.344239057739918
0.73,0.330320505542096
0.74,0.316150597745752
0.75,0.301758216837587
0.76,0.287172245304301
0.77,0.272421565632594
0.78,0.257535060309167
0.79,0.24254161182072
0.8,0.227470102653952
0.81,0.212349415295565
0.82,0.197208305737986
