"DAY_OF_YEAR","s(DAY_OF_YEAR)"
60,-1.31859930441533
61,-1.29422557805911
62,-1.26978762513529
63,-1.24522121907627
64,-1.22046213331446
65,-1.19544614128226
66,-1.17010901641207
67,-1.14438653213629
68,-1.11821446188732
69,-1.09152857909758
70,-1.06426465719944
71,-1.03635846962533
72,-1.00774578980764
73,-0.978362391178776
74,-0.948144047171135
75,-0.917026531217124
76,-0.884945616749141
77,-0.851837077199591
78,-0.817636686000874
79,-0.782280216585394
80,-0.745703442385551
81,-0.707842136833748
82,-0.668632073362386
83,-0.628009025403869
84,-0.585908766390598
85,-0.542267069754974
86,-0.4970197089294
87,-0.450102457346278
88,-0.401467695634687
89,-0.351199693647465
90,-0.2994456155479
91,-0.246353012839141
92,-0.19206943702434
93,-0.136742439606649
94,-0.0805195720892177
95,-0.0235483859751976
96,0.0340235672322602
97,0.0920487360300049
98,0.150379568914886
99,0.208868514383751
100,0.26736802093345
101,0.325730537060832
102,0.383808511262746
103,0.44145439203604
104,0.498520627877564
105,0.554859667284166
106,0.610323958752696
107,0.664765950780003
108,0.718038091862936
109,0.769992830498343
110,0.820482615183073
111,0.869359894413977
112,0.916477116687901
113,0.961686730501696
114,1.00484118435221
115,1.04579629513197
116,1.08446834917278
117,1.12082593725456
118,1.15483937477584
119,1.18647897713512
120,1.21571505973092
121,1.24251793796177
122,1.26685792722618
123,1.28870534292267
124,1.30803050044975
125,1.32480371520594
126,1.33899530258977
127,1.35057557799974
128,1.35951485683438
129,1.36578345449221
130,1.36935168637173
131,1.37018986787147
132,1.36826831438995
133,1.36355734132568
134,1.35602726407718
135,1.34564839804297
136,1.33239105862156
137,1.31622556121148
138,1.29712222121124
139,1.27505135401935
140,1.24998327503434
141,1.22188829965473
142,1.19073842245545
143,1.15660638859706
144,1.1197211066478
145,1.08032491858732
146,1.03866016639528
147,0.994969192051333
148,0.949494337535132
149,0.902477944826334
150,0.854162355904592
151,0.804789912749561
152,0.754602957340896
153,0.703843831658252
154,0.652754877681284
155,0.601578437389645
156,0.550556852762991
157,0.499932465780977
158,0.449947618423256
159,0.400844652669485
160,0.352865910499317
161,0.306253733892407
162,0.26125046482841
163,0.21809844528698
164,0.177040017247773
165,0.138317522690443
166,0.102173303594644
167,0.0688497019400309
168,0.0385890597062593
169,0.0116336221323936
170,-0.0118707191698396
171,-0.0320552343781962
172,-0.0491007248523566
173,-0.0631879919520019
174,-0.0744978370368128
175,-0.0832110614664698
176,-0.0895084666006542
177,-0.0935708537990462
178,-0.095579024421327
179,-0.0957137798271772
180,-0.094155921376277
181,-0.0910862504283082
182,-0.0866855683429509
183,-0.0811346764798862
184,-0.0746143761987944
185,-0.0673054688593566
186,-0.0593887558212537
187,-0.0510450384441661
188,-0.0424551180877748
189,-0.0337997961117603
190,-0.0252598738758037
191,-0.0170161527395856
192,-0.00924943406278676
193,-0.00214051920508795
194,0.00412979047383002
195,0.00938069361428654
196,0.0134313888566006
197,0.0161294780218538
198,0.0174814986984778
199,0.0175492415374804
200,0.0163945526648325
201,0.0140792782065042
202,0.0106652642884662
203,0.00621435703668884
204,0.000788402577142763
205,-0.00555075296420192
206,-0.0127412634613745
207,-0.0207212827884046
208,-0.0294289648193217
209,-0.0388024634281554
210,-0.0487799324889351
211,-0.0592995258756904
212,-0.0702993974624511
213,-0.0817177011232463
214,-0.0934925907321059
215,-0.105562220163059
216,-0.117864743290136
217,-0.130338313987365
218,-0.142921086128777
219,-0.155551213588401
220,-0.168166850240266
221,-0.180706149958403
222,-0.19310726661684
223,-0.205308354089607
224,-0.217250320876567
225,-0.228906098002904
226,-0.240269276187553
227,-0.25133379047768
228,-0.262093575920452
229,-0.272542567563034
230,-0.282674700452592
231,-0.292483909636292
232,-0.3019641301613
233,-0.311109297074781
234,-0.319913345423902
235,-0.328370210255829
236,-0.336473826617726
237,-0.344218129556761
238,-0.351597054120098
239,-0.358604535354905
240,-0.365234508308346
241,-0.371480908027588
242,-0.377337669559797
243,-0.382798727952137
244,-0.387858018251776
245,-0.392509475505879
246,-0.396747034761612
247,-0.400564631066141
248,-0.403956199466631
249,-0.406915675010249
250,-0.40943699274416
251,-0.411514583921662
252,-0.413157928797626
253,-0.414393905854402
254,-0.415250362726938
255,-0.415755147050183
256,-0.415936106459088
257,-0.4158210885886
258,-0.41543794107367
259,-0.414814511549247
260,-0.413978647650279
261,-0.412958197011715
262,-0.411781007268506
263,-0.4104749260556
264,-0.409067801007947
265,-0.407587479760495
266,-0.406061809948193
267,-0.404518639205992
268,-0.40298581516884
269,-0.401491185471686
270,-0.400062597749479
271,-0.398727899637169
272,-0.397514938769706
273,-0.396451562782037
274,-0.395565619309112
275,-0.394884955985881
276,-0.394437420447292
277,-0.394250860328295
278,-0.394353051470317
279,-0.39476011224165
280,-0.395463715316343
281,-0.396452455221191
282,-0.397714926482987
283,-0.399239723628525
284,-0.401015441184599
285,-0.403030673678002
286,-0.405274015635529
287,-0.407734061583974
288,-0.410399406050129
289,-0.41325864356079
290,-0.416300368642749
291,-0.419513175822801
292,-0.422885659627739
293,-0.426406414584358
294,-0.430064035219451
295,-0.433847116059811
296,-0.437744251632234
297,-0.441744036463512
298,-0.445835065080439
299,-0.45000593200981
300,-0.454245231778418
301,-0.458541558913056
302,-0.462883507940519
303,-0.467259673387601
304,-0.471658649781095
305,-0.476069031647796
