"WUI","s(WUI)"
0,-0.447533382793628
0.01,0.283820642254532
0.02,0.593803689928685
0.03,0.379430603023211
0.04,0.157670479139295
0.05,0.0619239816483373
0.06,0.000332900475064257
0.07,-0.00579469478970563
0.08,0.0773659107418027
0.09,0.196142079743351
0.1,0.292026169527843
0.11,0.358893424559375
0.12,0.406501043002221
0.13,0.444171011776244
0.14,0.475958184218375
0.15,0.5024384623303
0.16,0.524126024898126
0.17,0.541535050707962
0.18,0.555158722469285
0.19,0.565247993171952
0.2,0.571898412402779
0.21,0.575202978669658
0.22,0.575254690480481
0.23,0.572146546343139
0.24,0.565971544765524
0.25,0.556822684255528
0.26,0.544792963321044
0.27,0.529975380469961
0.28,0.512462934210172
0.29,0.492348623049569
0.3,0.469725445496043
0.31,0.444686400057487
0.32,0.417324485241792
0.33,0.387732699556849
0.34,0.356004041510551
0.35,0.322231509610788
0.36,0.286508102365454
0.37,0.24892681828244
0.38,0.209580655869636
0.39,0.168562613634935
0.4,0.125965690086229
0.41,0.0818828837314088
0.42,0.0364071930783676
0.43,-0.0103683833650041
0.44,-0.0583508470908145
0.45,-0.107447199591171
0.46,-0.157564442358184
0.47,-0.208609576883959
0.48,-0.260489604660605
0.49,-0.313111527180232
0.5,-0.366382345934947
0.51,-0.420209062416859
0.52,-0.474498678118075
0.53,-0.529158194530704
0.54,-0.584094613146854
0.55,-0.639214935458634
0.56,-0.69442616313492
